time_s,A1,A2,A3,AR1,AR2,AR3,CF1,CF2,CF3,RF1,RF2,RF3,RM1,RM2,RM3,U1,U2,U3,UR1,UR2,UR3,V1,V2,V3,VR1,VR2,VR3
0.0006210000137798488,-306.16729736328125,-334.89398193359375,171.6025848388672,70314.640625,-1061579.25,-586557.8125,-3.0616645290137967e-06,-3.3489307043055305e-06,1.7160211882583098e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3621131984109525e-05,-1.4900119822414126e-05,7.635134352312889e-06,0.0032327696681022644,-0.043414387851953506,-0.0253616776317358,-0.07895655184984207,-0.08636847138404846,0.04425668343901634,18.46251678466797,-257.3593444824219,-147.57017517089844
0.0006215000175870955,-306.3944396972656,-335.14239501953125,171.7298583984375,70365.703125,-1062689.875,-587098.1875,-3.0639359920314746e-06,-3.351414761709748e-06,1.7172939124066033e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3660648619406857e-05,-1.4943345377105288e-05,7.657284186279867e-06,0.003242040053009987,-0.04354320093989372,-0.02543552778661251,-0.07910969108343124,-0.0865359753370285,0.0443425178527832,18.4976863861084,-257.8904113769531,-147.86358642578125
0.0006220000213943422,-306.62103271484375,-335.39019775390625,171.85684204101562,70416.6484375,-1063799.875,-587638.0,-3.066201998080942e-06,-3.3538929073984036e-06,1.718563680697116e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3700241652259137e-05,-1.4986655514803715e-05,7.679476766497828e-06,0.003251328133046627,-0.04367228224873543,-0.02550952509045601,-0.07926294207572937,-0.08670361340045929,0.04442841187119484,18.532882690429688,-258.4220275878906,-148.1572723388672
0.0006225000252015889,-306.8470764160156,-335.6374206542969,171.98348999023438,70467.46875,-1064909.25,-588177.3125,-3.068462319788523e-06,-3.3563649139978224e-06,1.7198302657561726e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3739911082666367e-05,-1.5030049326014705e-05,7.701712092966773e-06,0.003260633908212185,-0.043801628053188324,-0.025583669543266296,-0.07941631227731705,-0.08687137067317963,0.04451437294483185,18.568103790283203,-258.9542236328125,-148.45123291015625
0.0006230000290088356,-307.07257080078125,-335.884033203125,172.10984802246094,70518.171875,-1066017.875,-588716.0625,-3.0707171845278936e-06,-3.3588310088816797e-06,1.7210937812706106e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3779657820123248e-05,-1.5073526810738258e-05,7.723991075181402e-06,0.003269957611337304,-0.04393123835325241,-0.025657961145043373,-0.07956978678703308,-0.08703924715518951,0.04460039734840393,18.603349685668945,-259.4869384765625,-148.74545288085938
0.0006234999746084213,-307.2975158691406,-336.1300354003906,172.2358856201172,70568.75,-1067126.0,-589254.3125,-3.0729665922990534e-06,-3.3612909646763e-06,1.7223542272404302e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3819480955135077e-05,-1.5117088878469076e-05,7.746312803647015e-06,0.0032792992424219847,-0.044061120599508286,-0.02573239989578724,-0.07972338050603867,-0.08720725029706955,0.04468648135662079,18.638622283935547,-260.0202331542969,-149.03994750976562
0.000623999978415668,-307.5218811035156,-336.37542724609375,172.3616180419922,70619.2109375,-1068233.5,-589792.0,-3.0752105431020027e-06,-3.363745008755359e-06,1.7236114899787935e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3859381397196557e-05,-1.5160734619712457e-05,7.768677278363612e-06,0.0032886583358049393,-0.04419126361608505,-0.025806987658143044,-0.0798770859837532,-0.08737538009881973,0.04477263242006302,18.673917770385742,-260.5540771484375,-149.33470153808594
0.0006244999822229147,-307.7457275390625,-336.6202087402344,172.48704528808594,70669.5546875,-1069340.25,-590329.125,-3.077448809563066e-06,-3.3661929137451807e-06,1.7248656831725384e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3899358236812986e-05,-1.5204464034468401e-05,7.791085408825893e-06,0.003298035589978099,-0.04432167857885361,-0.025881720706820488,-0.0800309032201767,-0.08754362910985947,0.044858843088150024,18.709239959716797,-261.0884704589844,-149.62973022460938
0.0006249999860301614,-307.968994140625,-336.8643798828125,172.61215209960938,70719.7734375,-1070446.5,-590865.75,-3.0796816190559184e-06,-3.3686346796457656e-06,1.7261168068216648e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3939412383479066e-05,-1.524827803223161e-05,7.813536285539158e-06,0.003307430539280176,-0.04445235803723335,-0.02595660090446472,-0.08018483221530914,-0.08771199733018875,0.0449451208114624,18.74458885192871,-261.6234130859375,-149.92503356933594
0.0006254999898374081,-308.19171142578125,-337.1079406738281,172.73695373535156,70769.8671875,-1071552.0,-591401.8125,-3.081908744206885e-06,-3.3710703064571135e-06,1.727364747239335e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3979542927700095e-05,-1.5292176613002084e-05,7.836030817998108e-06,0.003316843416541815,-0.04458330571651459,-0.026031630113720894,-0.08033887296915054,-0.08788049221038818,0.045031458139419556,18.77996063232422,-262.1589050292969,-150.22059631347656
0.0006259999936446548,-308.41387939453125,-337.3509216308594,172.86143493652344,70819.84375,-1072656.875,-591937.3125,-3.0841301850159653e-06,-3.3734997941792244e-06,1.728609504425549e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4019750778970774e-05,-1.533615795779042e-05,7.85856809670804e-06,0.003326274221763015,-0.04471452161669731,-0.026106806471943855,-0.0804930254817009,-0.08804910629987717,0.045117855072021484,18.815357208251953,-262.6949768066406,-150.5164337158203
0.0006264999974519014,-308.6354675292969,-337.59326171875,172.985595703125,70869.6953125,-1073761.125,-592472.25,-3.086346168856835e-06,-3.3759231428120984e-06,1.7298511920671444e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4060035937291104e-05,-1.538022479508072e-05,7.881148121668957e-06,0.003335722954943776,-0.044846005737781525,-0.026182129979133606,-0.0806472897529602,-0.0882178395986557,0.045204319059848785,18.850780487060547,-263.2315673828125,-150.81253051757812
0.0006270000012591481,-308.85650634765625,-337.8349914550781,173.1094512939453,70919.4296875,-1074864.75,-593006.625,-3.0885564683558187e-06,-3.378340579729411e-06,1.7310896964772837e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4100398402661085e-05,-1.542437712487299e-05,7.903771802375559e-06,0.003345189616084099,-0.04497775807976723,-0.026257602497935295,-0.08080165833234787,-0.08838669955730438,0.04529084265232086,18.886228561401367,-263.76873779296875,-151.10890197753906
0.0006275000050663948,-309.07696533203125,-338.0760803222656,173.2329864501953,70969.0390625,-1075967.625,-593540.5,-3.0907613108865917e-06,-3.380751650183811e-06,1.7323251313428045e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4140837265586015e-05,-1.5468611309188418e-05,7.926439138827845e-06,0.003354673972353339,-0.04510977864265442,-0.026333224028348923,-0.08095614612102509,-0.08855567872524261,0.045377425849437714,18.92169952392578,-264.3064270019531,-151.40554809570312
0.0006280000088736415,-309.296875,-338.31658935546875,173.356201171875,71018.5234375,-1077070.0,-594073.8125,-3.092960241701803e-06,-3.383156581548974e-06,1.7335572692900314e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4181354345055297e-05,-1.5512932804995216e-05,7.949149221531115e-06,0.0033641764894127846,-0.0452420674264431,-0.02640899270772934,-0.08111073821783066,-0.0887247771024704,0.04546407610177994,18.957197189331055,-264.8446960449219,-151.70245361328125
0.0006285000126808882,-309.5162048339844,-338.55645751953125,173.47911071777344,71067.8828125,-1078171.625,-594606.5625,-3.095153715548804e-06,-3.3855553738249e-06,1.7347863376926398e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.422194873157423e-05,-1.5557336155325174e-05,7.97190295998007e-06,0.0033736969344317913,-0.04537462815642357,-0.026484910398721695,-0.08126544207334518,-0.08889399468898773,0.04555078223347664,18.992717742919922,-265.3835144042969,-151.99961853027344
0.0006290000164881349,-309.7349853515625,-338.79571533203125,173.6016845703125,71117.125,-1079272.5,-595138.75,-3.0973412776802434e-06,-3.3879477996379137e-06,1.7360121091769543e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4262619515648112e-05,-1.5601826817146502e-05,7.99470035417471e-06,0.0033832350745797157,-0.04550745710730553,-0.02656097523868084,-0.08142025023698807,-0.08906333148479462,0.045637551695108414,19.02826499938965,-265.9228820800781,-152.29705810546875
0.0006295000202953815,-309.95318603515625,-339.0343322753906,173.7239532470703,71166.234375,-1080372.875,-595670.375,-3.099523382843472e-06,-3.3903340863616904e-06,1.7372348111166502e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4303368516266346e-05,-1.564639933349099e-05,8.017540494620334e-06,0.003392791608348489,-0.045640554279088974,-0.026637190952897072,-0.0815751776099205,-0.08923278748989105,0.04572438448667526,19.06383514404297,-266.4627685546875,-152.59475708007812
0.0006300000241026282,-310.1708068847656,-339.2723388671875,173.8459014892578,71215.2265625,-1081472.5,-596201.4375,-3.1016998036648147e-06,-3.39271423399623e-06,1.7384542161380523e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4344194823934231e-05,-1.5691059161326848e-05,8.040425200306345e-06,0.0034023658372461796,-0.04577392339706421,-0.026713553816080093,-0.08173020929098129,-0.08940236270427704,0.04581127688288689,19.099430084228516,-267.00323486328125,-152.89273071289062
0.0006305000279098749,-310.38787841796875,-339.5097351074219,173.967529296875,71264.09375,-1082571.375,-596731.9375,-3.1038703127705958e-06,-3.3950880151678575e-06,1.7396705516148359e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4385098438651767e-05,-1.573580266267527e-05,8.063352652243339e-06,0.0034119582269340754,-0.04590756446123123,-0.026790065690875053,-0.08188534528017044,-0.08957205712795258,0.045898232609033585,19.13504981994629,-267.54425048828125,-153.1909637451172
0.0006309999735094607,-310.6043701171875,-339.7464904785156,174.08883666992188,71312.8359375,-1083669.625,-597261.875,-3.1060351375344908e-06,-3.3974554298765725e-06,1.7408835901733255e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4426080269913655e-05,-1.5780631656525657e-05,8.086322850431316e-06,0.0034215685445815325,-0.046041473746299744,-0.0268667284399271,-0.08204059302806854,-0.08974187821149826,0.04598524421453476,19.17069435119629,-268.0858154296875,-153.4894561767578
0.0006314999773167074,-310.8202819824219,-339.98260498046875,174.20980834960938,71361.453125,-1084767.25,-597791.25,-3.1081942779564997e-06,-3.3998167054960504e-06,1.7420933318135212e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4467139408225194e-05,-1.5825544323888607e-05,8.10933761385968e-06,0.003431196790188551,-0.04617565497756004,-0.026943540200591087,-0.0821959525346756,-0.0899118036031723,0.04607231914997101,19.206363677978516,-268.6279296875,-153.78822326660156
0.0006319999811239541,-311.0356140136719,-340.2181091308594,174.33047485351562,71409.9375,-1085864.25,-598320.0625,-3.1103477340366226e-06,-3.4021718420262914e-06,1.7433000039090985e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4508276763081085e-05,-1.5870542483753525e-05,8.132395123539027e-06,0.0034408431965857744,-0.04631010442972183,-0.027020499110221863,-0.08235141634941101,-0.09008185565471649,0.04615945369005203,19.242055892944336,-269.17059326171875,-154.08724975585938
0.0006324999849312007,-311.2503662109375,-340.4529724121094,174.4508056640625,71458.3046875,-1086960.5,-598848.3125,-3.112495278401184e-06,-3.4045203847199446e-06,1.7445033790863818e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4549490515491925e-05,-1.591562613612041e-05,8.155497198458761e-06,0.003450507763773203,-0.04644482955336571,-0.027097608894109726,-0.08250698447227478,-0.09025202691555023,0.04624665156006813,19.277772903442383,-269.7137756347656,-154.38653564453125
0.0006329999887384474,-311.4645690917969,-340.68719482421875,174.57081604003906,71506.546875,-1088056.0,-599376.0,-3.114637138423859e-06,-3.4068627883243607e-06,1.7457034573453711e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.459078339394182e-05,-1.596079528098926e-05,8.178642019629478e-06,0.0034601902589201927,-0.04657982289791107,-0.027174869552254677,-0.0826626643538475,-0.09042230993509293,0.046333905309438705,19.313514709472656,-270.2575378417969,-154.68609619140625
0.0006334999925456941,-311.67816162109375,-340.9208068847656,174.6905059814453,71554.65625,-1089150.875,-599903.125,-3.116773086730973e-06,-3.4091988254658645e-06,1.7469003523729043e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4632153579441365e-05,-1.6006048099370673e-05,8.201830496545881e-06,0.0034698909148573875,-0.04671509191393852,-0.027252279222011566,-0.08281844854354858,-0.09059271216392517,0.046421222388744354,19.349279403686523,-270.8018493652344,-154.9859161376953
0.0006339999963529408,-311.89117431640625,-341.1537780761719,174.80987548828125,71602.640625,-1090245.125,-600429.6875,-3.1189033506962005e-06,-3.4115282687707804e-06,1.7480939504821436e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4673601981485263e-05,-1.6051388229243457e-05,8.22506353870267e-06,0.0034796097315847874,-0.04685063287615776,-0.027329837903380394,-0.08297434449195862,-0.09076323360204697,0.04650859534740448,19.385068893432617,-271.3466796875,-155.28599548339844
0.0006345000001601875,-312.1036376953125,-341.3861083984375,174.9289093017578,71650.5,-1091338.625,-600955.625,-3.1210277029458666e-06,-3.4138515729864594e-06,1.7492842516730889e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4715127690578811e-05,-1.6096812032628804e-05,8.248339327110443e-06,0.0034893464762717485,-0.04698644205927849,-0.02740754745900631,-0.08313034474849701,-0.09093386679887772,0.04659603163599968,19.420883178710938,-271.89208984375,-155.5863494873047
0.0006350000039674342,-312.31549072265625,-341.6177978515625,175.047607421875,71698.2265625,-1092431.375,-601481.0,-3.1231461434799712e-06,-3.416168510739226e-06,1.750471369632578e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4756732525711413e-05,-1.6142321328516118e-05,8.271659680758603e-06,0.0034991013817489147,-0.0471225269138813,-0.027485406026244164,-0.08328644931316376,-0.09110461920499802,0.046683523803949356,19.45672035217285,-272.4380187988281,-155.88694763183594
0.0006355000077746809,-312.5267639160156,-341.8488464355469,175.16598510742188,71745.828125,-1093523.5,-602005.8125,-3.1252588996721897e-06,-3.41847908202908e-06,1.7516550769869355e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4798414667893667e-05,-1.61879161169054e-05,8.295022780657746e-06,0.003508874448016286,-0.0472588874399662,-0.027563417330384254,-0.08344265818595886,-0.09127548336982727,0.046771079301834106,19.49258041381836,-272.9845275878906,-156.1878204345703
0.0006360000115819275,-312.7374267578125,-342.0792541503906,175.28404235839844,71793.3046875,-1094614.875,-602530.0625,-3.1273657441488467e-06,-3.4207830594823463e-06,1.7528356011098367e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4840175026620273e-05,-1.6233596397796646e-05,8.318430445797276e-06,0.003518665675073862,-0.04739551991224289,-0.027641575783491135,-0.08359897136688232,-0.09144646674394608,0.046858690679073334,19.528465270996094,-273.53155517578125,-156.48895263671875
0.0006365000153891742,-312.9475402832031,-342.3089904785156,175.40176391601562,71840.6484375,-1095705.5,-603053.6875,-3.129466676909942e-06,-3.4230806704727e-06,1.754012828314444e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.488201360189123e-05,-1.627936217118986e-05,8.34188176668249e-06,0.0035284750629216433,-0.047532424330711365,-0.027719886973500252,-0.08375539630651474,-0.09161756187677383,0.046946361660957336,19.564373016357422,-274.0791320800781,-156.7903594970703
0.0006370000191964209,-313.15704345703125,-342.5381164550781,175.51914978027344,71887.8671875,-1096795.5,-603576.8125,-3.1315619253291516e-06,-3.4253719150001416e-06,1.7551867586007575e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4923930393706542e-05,-1.6325215256074443e-05,8.36537674331339e-06,0.0035383026115596294,-0.04766960069537163,-0.027798349037766457,-0.08391191810369492,-0.09178877621889114,0.047034092247486115,19.600305557250977,-274.62725830078125,-157.09201049804688
0.0006375000230036676,-313.365966796875,-342.7666015625,175.63621520996094,71934.953125,-1097884.75,-604099.25,-3.133651034659124e-06,-3.427656565690995e-06,1.756357391968777e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4965925402066205e-05,-1.637115201447159e-05,8.388915375689976e-06,0.0035481483209878206,-0.047807056456804276,-0.02787696197628975,-0.08406855165958405,-0.09196010231971741,0.04712188243865967,19.636260986328125,-275.1759338378906,-157.39393615722656
0.0006380000268109143,-313.57427978515625,-342.9944152832031,175.75294494628906,71981.9140625,-1098973.375,-604621.1875,-3.135734232273535e-06,-3.4299348499189364e-06,1.7575246147316648e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.500799862697022e-05,-1.6417174265370704e-05,8.412498573306948e-06,0.0035580124240368605,-0.04794478416442871,-0.02795572392642498,-0.08422528207302094,-0.09213154017925262,0.0472097285091877,19.6722412109375,-275.72515869140625,-157.69610595703125
0.0006384999724105,-313.7820129394531,-343.2215881347656,175.8693389892578,72028.7421875,-1100061.25,-605142.5,-3.1378115181723842e-06,-3.4322065403102897e-06,1.7586885405762587e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.505015097791329e-05,-1.6463283827761188e-05,8.436125426669605e-06,0.0035678944550454617,-0.04808278754353523,-0.028034638613462448,-0.08438212424516678,-0.09230309724807739,0.047297634184360504,19.70824432373047,-276.27490234375,-157.99855041503906
0.0006389999762177467,-313.9891662597656,-343.4481201171875,175.9853973388672,72075.4453125,-1101148.375,-605663.25,-3.139882892355672e-06,-3.4344718642387306e-06,1.7598491695025587e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.5092380635906011e-05,-1.6509477063664235e-05,8.459795935777947e-06,0.0035777948796749115,-0.04822106286883354,-0.028113704174757004,-0.08453907072544098,-0.09247476607561111,0.047385599464178085,19.74427032470703,-276.8251953125,-158.30125427246094
0.0006394999800249934,-314.1957092285156,-343.67401123046875,176.10113525390625,72122.015625,-1102234.75,-606183.375,-3.1419483548233984e-06,-3.4367305943305837e-06,1.7610065015105647e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.5134689419937786e-05,-1.6555757611058652e-05,8.483511010126676e-06,0.0035877134650945663,-0.048359617590904236,-0.028192922472953796,-0.08469611406326294,-0.09264654666185379,0.04747362062335014,19.780319213867188,-277.37603759765625,-158.60421752929688
0.0006399999838322401,-314.4016418457031,-343.89923095703125,176.21652221679688,72168.453125,-1103320.5,-606702.9375,-3.144007905575563e-06,-3.4389829579595244e-06,1.7621604229134391e-06,0.0,0.0,0.0,0.0,-0.0,0.0,-1.5177077330008615e-05,-1.6602123650955036e-05,8.50726974022109e-06,0.00359765044413507,-0.04849844425916672,-0.028272289782762527,-0.08485326170921326,-0.09281843900680542,0.04756169766187668,19.816390991210938,-277.92742919921875,-158.90744018554688
